obs_p,obs_q,obs_teta
0.0,1.32,0.2505
0.0,1.32,0.2505
0.0,1.32,0.2503333333333333
0.0,1.32,0.25
0.0,1.32,0.25
0.0,1.337,0.25
0.0,1.337,0.2495
0.0,1.37,0.249
0.0,1.337,0.249
0.0,1.304,0.24825
0.0,1.32,0.248
0.0,1.32,0.2479166666666667
0.0,1.32,0.2470833333333333
0.0,1.304,0.2469999999999999
0.0,1.288,0.2469999999999999
0.0,1.288,0.2465833333333333
0.0,1.304,0.2460833333333333
0.0,1.288,0.246
0.0,1.288,0.246
0.0,1.288,0.246
0.0,1.271,0.246
0.0,1.271,0.246
0.0,1.288,0.246
0.0,1.288,0.246
0.0,1.304,0.246
0.0,1.288,0.246
0.0,1.288,0.2459166666666666
0.0,1.288,0.2454166666666667
0.0,1.304,0.245
0.0,1.304,0.245
0.0,1.304,0.245
0.0,1.304,0.2449166666666667
0.0,1.304,0.2446666666666666
0.0,1.304,0.2439999999999999
0.0,1.304,0.2439166666666666
0.0,1.304,0.2431666666666666
0.0,1.288,0.2429999999999999
0.0,1.288,0.2424166666666666
0.0,1.288,0.242
0.0,1.288,0.242
0.0,1.288,0.2419166666666666
0.0,1.271,0.24125
0.0,1.271,0.241
0.0,1.255,0.241
0.0,1.255,0.241
0.0,1.271,0.241
0.0,1.288,0.241
0.0,1.288,0.241
0.0,1.288,0.241
0.001,1.304,0.241
0.0058,1.453,0.244
0.0013,1.52,0.2444166666666667
0.0013,1.897,0.2450833333333334
0.0002,1.985,0.2456666666666666
0.0025,2.217,0.2530833333333333
0.0042,2.545,0.2775833333333333
0.0004,3.166,0.28025
0.0,3.339,0.2816666666666667
0.0,3.475,0.283
0.0001,3.378,0.283
0.0,3.281,0.2830833333333333
0.0,3.223,0.283
0.0,3.127,0.283
0.0,3.089,0.283
0.0,2.862,0.283
0.0,2.674,0.2825
0.0,2.471,0.282
0.0,2.307,0.282
0.0,2.217,0.282
0.0,2.109,0.282
0.0,2.038,0.2813333333333334
0.0,1.985,0.2810000000000001
0.0003,1.933,0.2810000000000001
0.0009,1.897,0.2810000000000001
0.0006,1.863,0.2810000000000001
0.0,1.95,0.2810000000000001
0.0,1.863,0.2811666666666667
0.0002,1.88,0.282
0.0,2.003,0.282
0.0,1.604,0.28175
0.0,2.109,0.2810833333333334
0.0,2.021,0.2810000000000001
0.0004,2.003,0.2810000000000001
0.0,2.145,0.2810000000000001
0.0007,2.163,0.2810000000000001
0.0,2.127,0.2800833333333334
0.0001,2.074,0.2800000000000001
0.0,2.003,0.2800000000000001
0.0,2.003,0.2800000000000001
0.0,1.985,0.2800000000000001
0.0,1.915,0.2800000000000001
0.0,1.897,0.2800000000000001
0.0,1.88,0.2800000000000001
0.0,1.88,0.2799166666666667
0.0,1.88,0.2800000000000001
0.0,1.863,0.2795833333333333
0.0,1.828,0.2790833333333333
0.0,1.793,0.2789999999999999
0.0,2.362,0.2789999999999999
0.0,1.741,0.2789999999999999
0.0,1.707,0.2789999999999999
0.0,1.707,0.2789999999999999
0.0,1.655,0.2785833333333333
0.0,1.673,0.278
0.0,1.655,0.278
0.0,1.621,0.2776666666666667
0.0,1.587,0.2770000000000001
0.0,1.604,0.2770000000000001
0.0,1.57,0.2769166666666667
0.0,1.57,0.2761666666666666
0.0,1.537,0.2759999999999999
0.0,1.554,0.2759999999999999
0.0,1.537,0.2759999999999999
0.0,1.486,0.2754166666666666
0.0,1.503,0.2750833333333333
0.0,1.503,0.2749999999999999
0.0001,1.486,0.2749999999999999
0.0001,1.304,0.2749999999999999
0.0001,1.537,0.2749999999999999
0.0005,1.486,0.2749999999999999
0.0005,1.486,0.2749999999999999
0.0008,1.503,0.2749999999999999
0.0008,1.52,0.2749999999999999
0.0005,1.638,0.2759999999999999
0.0001,1.673,0.2768333333333334
0.0,1.758,0.2770833333333334
0.0,1.758,0.2779166666666667
0.0,1.758,0.278
0.0001,1.758,0.278
0.0,1.741,0.278
0.0,1.724,0.2775833333333334
0.0,1.724,0.2770000000000001
0.0,1.707,0.2770000000000001
0.0,1.724,0.2770000000000001
0.0,1.741,0.2766666666666666
0.0,1.707,0.2759999999999999
0.0,1.673,0.2759999999999999
0.0,1.638,0.2759999999999999
0.0,1.604,0.2759999999999999
0.0005,1.57,0.2759999999999999
0.0,1.537,0.2759999999999999
0.0,1.537,0.2759999999999999
0.0,1.554,0.2759999999999999
0.0,1.537,0.2759999999999999
0.0,1.52,0.27575
0.0,1.503,0.2753333333333334
0.0,1.503,0.2751666666666666
0.0001,1.503,0.2749999999999999
0.0,1.503,0.2749999999999999
0.0,1.503,0.2749999999999999
0.0,1.486,0.2749999999999999
0.0,1.486,0.2749999999999999
0.0,1.47,0.2744166666666667
0.0,1.453,0.274
0.0,1.453,0.274
0.0015,1.47,0.27325
0.0014,1.486,0.2730000000000001
0.0,1.587,0.2730000000000001
0.0,1.673,0.2730000000000001
0.0,1.673,0.2730000000000001
0.0001,1.638,0.2730000000000001
0.0,1.638,0.2730000000000001
0.0,1.638,0.2730000000000001
0.0,1.655,0.2730000000000001
0.0,1.638,0.2730000000000001
0.0,1.604,0.2730000000000001
0.0,1.57,0.2730000000000001
0.0,1.554,0.2730000000000001
0.0,1.57,0.2730000000000001
0.0,1.554,0.2730000000000001
0.0,1.554,0.2730000000000001
0.0,1.52,0.2730000000000001
0.0,1.503,0.2730000000000001
0.0,1.503,0.2730000000000001
0.0,1.453,0.2730000000000001
0.0,1.47,0.2723333333333333
0.0,1.436,0.2720000000000001
0.0,1.337,0.2719166666666667
0.0,1.42,0.2709999999999999
0.0,1.403,0.2709999999999999
0.0,1.37,0.2709999999999999
0.0006,1.37,0.2705
0.0,1.353,0.2700833333333333
0.0,1.32,0.2700833333333333
0.0,1.288,0.27
0.0,1.271,0.27
0.0,1.271,0.27
0.0,1.271,0.27
0.0,1.271,0.27
0.0,1.255,0.27
0.0,1.223,0.27
0.0,1.239,0.27
0.0,1.239,0.27
0.0,1.239,0.27
0.0,1.239,0.27
0.0,1.239,0.27
0.0,1.239,0.27
0.0,1.255,0.2692727272727274
0.0,1.239,0.2690000000000001
0.0,1.239,0.2690000000000001
0.0,1.223,0.2690000000000001
0.0,1.207,0.2689166666666667
0.0,1.19,0.2679999999999999
0.0,1.174,0.2679999999999999
0.0,1.158,0.2679999999999999
0.0,1.19,0.2678333333333332
0.0,1.19,0.2669999999999999
0.0,1.19,0.2669999999999999
0.0,1.174,0.2669999999999999
0.0,1.174,0.2669999999999999
0.0,1.174,0.2669999999999999
0.0,1.174,0.2669166666666666
0.0,1.174,0.2668333333333333
0.0,1.174,0.2665
0.0,1.174,0.2665833333333333
0.0,1.174,0.2665833333333333
0.0,1.174,0.26625
0.0,1.158,0.2663333333333333
0.0,1.158,0.26625
0.0,1.158,0.2660833333333333
0.0,1.158,0.266
0.0,1.158,0.266
0.0,1.158,0.266
0.0,1.19,0.2653333333333334
0.0,1.174,0.265
0.0,1.174,0.2648333333333334
0.0,1.158,0.264
0.0,1.158,0.264
0.0,1.142,0.264
0.0,1.158,0.2629999999999999
0.0,1.142,0.2629999999999999
0.0,1.142,0.2629999999999999
0.0,1.142,0.2629999999999999
0.0,1.142,0.2629999999999999
0.0,1.142,0.2629999999999999
0.0,1.142,0.2626666666666666
0.0,1.142,0.2621666666666666
0.0,1.158,0.2621666666666666
0.0,1.174,0.2620833333333333
0.0002,1.158,0.262
0.0002,1.142,0.262
0.0016,1.158,0.262
0.0008999999999999,1.174,0.2628333333333333
0.0001,1.207,0.2629999999999999
0.0007,1.288,0.2629999999999999
0.0002,1.304,0.2629999999999999
0.0035999999999999,1.47,0.26325
0.0016,1.638,0.2654166666666667
0.0006,1.741,0.2666666666666666
0.0006,1.933,0.2695833333333333
0.0013,2.109,0.27275
0.0,2.109,0.2760833333333334
0.0,2.127,0.2789166666666667
0.0,2.092,0.2805833333333334
0.0,2.056,0.2816666666666667
0.0,1.985,0.282
0.0,2.092,0.282
0.0,2.092,0.282
0.0,2.109,0.2824166666666666
0.0,2.109,0.283
0.0,2.056,0.283
0.0,1.968,0.283
0.0,1.88,0.283
0.0,1.845,0.283
0.0,1.897,0.283
0.0,1.933,0.283
0.0,1.915,0.283
0.0,1.828,0.283
0.0002,1.776,0.283
0.0,1.776,0.283
0.0,1.758,0.28275
0.0001,1.776,0.282
0.0,1.638,0.2833333333333332
0.0017999999999999,1.655,0.285
0.0029999999999999,1.793,0.2839166666666666
0.0006,1.897,0.2894166666666666
0.0003,2.092,0.293
0.0,2.805,0.2943333333333333
0.0,3.436,0.295
0.0,4.391,0.295
0.0,4.33,0.295
0.0,4.048,0.295
0.0001,4.008,0.2948333333333333
0.0,3.869,0.294
0.0001,3.534,0.294
0.0,3.281,0.294
0.0,3.032,0.294
0.0,2.843,0.2934166666666667
0.0,2.693,0.293
0.0,2.582,0.293
0.0,2.398,0.293
0.0012999999999999,2.435,0.2929166666666666
0.0039,2.712,0.2919166666666666
0.0039,2.843,0.2970833333333333
0.0,3.612,0.2987499999999999
0.0,3.07,0.2992499999999999
0.0,3.013,0.2998333333333333
0.0004,2.862,0.2992499999999999
0.0,2.899,0.299
0.0001,2.787,0.299
0.0,2.749,0.299
0.0001,2.787,0.2985
0.0,2.843,0.2980833333333333
0.0,2.749,0.298
0.0,2.656,0.298
0.0,2.582,0.298
0.0,2.526,0.2975
0.0,2.471,0.297
0.0,2.435,0.297
0.0,2.38,0.297
0.0,2.344,0.297
0.0,2.307,0.2966666666666666
0.0,2.271,0.2960833333333332
0.0,2.235,0.2959999999999999
0.0,2.181,0.2959999999999999
0.0,2.163,0.2959999999999999
0.0,2.145,0.2955833333333332
0.0,2.127,0.295
0.0,2.074,0.295
0.0,2.056,0.2948333333333333
0.0,2.021,0.294
0.0,2.003,0.294
0.0,2.003,0.2935
0.0,1.968,0.293
0.0,1.95,0.2927499999999999
0.0,1.915,0.2919999999999999
0.0,1.915,0.2919999999999999
0.0,1.88,0.2919166666666666
0.0,1.845,0.2910833333333333
0.0,1.845,0.291
0.0,1.845,0.291
0.0,1.81,0.291
0.0,1.776,0.291
0.0,1.776,0.291
0.0,1.776,0.2909166666666666
0.0,1.776,0.29025
0.0,1.758,0.29
0.0,1.741,0.29
0.0,1.741,0.29
0.0004,1.741,0.29
0.0001,1.741,0.29
0.0,1.741,0.29
0.0,1.758,0.2895
0.0,1.758,0.289
0.0,1.741,0.289
0.0,1.741,0.289
0.0,1.758,0.289
0.0,1.741,0.2889166666666666
0.0,1.741,0.2880833333333332
0.0,1.724,0.2879999999999999
0.0,1.741,0.2879999999999999
0.0,1.673,0.2879999999999999
0.0,1.673,0.2879999999999999
0.0,1.655,0.2879999999999999
0.0,1.673,0.2879999999999999
0.0,1.655,0.2876666666666665
0.0,1.638,0.2873333333333333
0.0013,1.554,0.28675
